Band_1	Band_2	Band_3	Band_4	Band_5	Band_6	Band_7
306	428	277	3070	1389	515	2436
953	1185	1524	2698	3576	2761	3123
762	964	1234	2237	3224	2655	3218
262	382	217	3356	1489	568	2436
762	987	1332	2497	3375	2787	3123
538	860	734	4497	2238	989	2637
975	1317	1833	2812	3777	3129	3123
847	1162	1563	2525	3375	2787	3123
419	675	435	4379	2069	833	2637
284	450	296	2812	1262	463	2487
377	653	435	4179	2018	833	2587
398	653	416	4631	2094	859	2537
285	517	296	3070	1161	410	2537
909	1184	1369	3041	3198	2549	2979
672	829	1098	2034	3224	2761	3218
327	450	296	3042	1389	541	2487
1232	1685	1959	3024	3860	3378	3453
261	404	296	2611	1288	515	2436
335	477	300	3123	1538	621	2487
285	405	257	3385	1489	541	2436
305	493	277	3584	1615	621	2487
469	679	867	2777	3019	1597	3075
447	658	829	2805	2969	1570	3123
241	428	217	3270	1489	568	2386
640	1032	1022	4734	2367	1043	2979
262	405	257	3385	1514	541	2386
305	472	296	3385	1539	594	2487
340	481	303	3689	1688	620	2537
996	1251	1697	2783	3551	2814	3075
440	710	563	3392	2461	1146	2686
911	1274	1756	2755	3626	2946	3171
405	635	790	2749	2869	1544	3075
975	1426	1947	2927	3676	2893	3123
285	450	257	3556	1640	594	2436
440	643	486	3364	2411	1094	2686
285	494	336	3155	1262	437	2537
469	657	848	2806	2919	1597	3075
847	1119	1524	2698	3626	2893	3123
326	427	277	3727	1590	621	2436
305	472	277	3755	1539	541	2386
305	449	256	3641	1691	674	2436
342	436	361	2892	1537	647	2637
617	1032	1003	4762	2342	1043	2979
372	628	394	4379	1968	780	2537
640	1012	1119	4480	2341	1043	2979
328	539	355	2898	1539	700	2637
306	494	336	3070	1161	437	2537
328	517	394	3099	1389	541	2587
332	453	357	3354	1488	647	2487
469	657	829	2835	2919	1570	3027
640	1077	1081	4761	2342	1043	2979
290	385	259	2953	1338	541	2436
491	635	790	2749	2894	1544	3027
328	405	277	3356	1539	594	2436
310	430	318	2925	1388	568	2436
306	427	336	3155	1463	568	2637
285	428	277	3270	1463	515	2436
1397	1835	2167	2939	3487	3169	3500
490	635	790	2720	2794	1465	3027
576	1032	1022	4762	2392	1043	2979
469	635	829	2777	2894	1491	3075
337	479	341	3350	1588	647	2487
398	653	435	4490	2094	806	2487
335	498	358	3380	1639	726	2487
417	664	524	3733	2236	936	2637
349	673	355	4660	2018	806	2537
398	698	416	4039	2119	780	2735
295	479	322	3520	1563	647	2487
290	431	280	3382	1488	621	2436
285	494	296	3612	1590	594	2386
398	653	435	4237	1993	833	2487
847	1185	1486	2554	3751	3129	3123
491	635	830	2835	2919	1544	3123
334	477	320	3608	1589	621	2487
913	1185	1312	1832	1363	1176	2785
285	405	217	3441	1489	488	2436
389	484	364	3145	1612	594	2587
241	382	217	3299	1463	488	2436
446	591	770	2664	2769	1465	3027
285	450	277	3242	1489	515	2487
292	432	320	2752	1237	463	2487
305	338	237	2294	909	357	2436
285	428	277	3213	1463	568	2487
